iter	Passed	Remaining
0	1	185
1	3	160
2	4	149
3	5	134
4	7	136
5	8	133
6	9	132
7	11	130
8	12	127
9	13	124
10	15	123
11	16	121
12	18	120
13	19	118
14	20	117
15	22	116
16	23	115
17	24	113
18	26	111
19	27	110
20	28	108
21	30	107
22	31	106
23	34	107
24	35	107
25	37	107
26	39	107
27	41	106
28	43	106
29	45	106
30	49	109
31	50	107
32	52	107
33	54	105
34	56	104
35	58	103
36	60	103
37	62	101
38	63	99
39	65	97
40	66	96
41	67	93
42	69	92
43	75	96
44	81	99
45	88	103
46	96	108
47	104	112
48	106	110
49	110	110
50	113	109
51	115	106
52	116	103
53	118	100
54	118	97
55	120	94
56	122	92
57	124	90
58	126	87
59	127	85
60	129	82
61	130	80
62	132	77
63	133	75
64	135	72
65	140	72
66	142	70
67	144	67
68	145	65
69	147	63
70	148	60
71	150	58
72	151	56
73	153	53
74	154	51
75	156	49
76	157	47
77	159	44
78	160	42
79	162	40
80	163	38
81	165	36
82	167	34
83	169	32
84	171	30
85	172	28
86	174	26
87	175	23
88	177	21
89	178	19
90	180	17
91	181	15
92	183	13
93	184	11
94	185	9
95	187	7
96	188	5
97	189	3
98	190	1
99	191	0
